Name,Gender,Department,Location,BonusRate,Salary,BonusAmount,TotalPaid,Rating
Harwilll Domotor,Male,Training,Kaduna,0.04,"$112,370.","$4,495.","$116,865.",Average
Marissa Infante,Male,Training,Lagos,0.04,"$78,840.","$3,154.","$81,994.",Average
Easter Pyke,Female,Training,Abuja,0.04,"$95,680.","$3,827.","$99,507.",Average
Audry Yu,Female,Training,Abuja,0.04,"$101,190.","$4,048.","$105,238.",Average
Myrilla Mercik,Female,Training,Kaduna,0.04,"$96,660.","$3,866.","$100,526.",Average
Hartwell Pratchett,Female,Training,Lagos,0.04,"$42,730.","$1,709.","$44,439.",Average
Alta Kaszper,Male,Training,Lagos,0.04,"$54,970.","$2,199.","$57,169.",Average
Martelle Brise,Male,Training,Kaduna,0.04,"$79,520.","$3,181.","$82,701.",Average
Drusy MacCombe,Male,Training,Kaduna,0.04,"$43,510.","$1,740.","$45,250.",Average
Liane Bedburrow,Female,Training,Abuja,0.04,"$76,620.","$3,065.","$79,685.",Average
Osborn Pawle,Male,Training,Abuja,0.04,"$38,030.","$1,521.","$39,551.",Average
Gretchen Callow,Female,Training,Kaduna,0.04,"$33,920.","$1,357.","$35,277.",Average
Daphne Francillo,Male,Training,Lagos,0.04,"$63,370.","$2,535.","$65,905.",Average
Konstantin Timblett,Female,Training,Abuja,0.04,"$56,250.","$2,250.","$58,500.",Average
Madge McCloughen,Male,Training,Kaduna,0.04,"$91,310.","$3,652.","$94,962.",Average
Eberto William,Female,Research and Development,Abuja,0.033,"$57,750.","$1,906.","$59,656.",Average
Vassili Flay,Male,Research and Development,Abuja,0.033,"$108,970.","$3,596.","$112,566.",Average
Berny Bastide,Male,Research and Development,Kaduna,0.033,"$56,710.","$1,871.","$58,581.",Average
Augusta Cheetham,Male,Research and Development,Abuja,0.033,"$105,470.","$3,481.","$108,951.",Average
Cecilio Sprankling,Male,Research and Development,Abuja,0.033,"$109,710.","$3,620.","$113,330.",Average
Latisha Jolly,Female,Research and Development,Lagos,0.033,"$58,400.","$1,927.","$60,327.",Average
Debera Gow,Female,Research and Development,Lagos,0.033,"$39,700.","$1,310.","$41,010.",Average
Jessika Jaycocks,Female,Research and Development,Lagos,0.033,"$67,980.","$2,243.","$70,223.",Average
Myer McCory,Male,Research and Development,Kaduna,0.033,"$69,710.","$2,300.","$72,010.",Average
Maritsa Marusic,Male,Research and Development,Kaduna,0.033,"$52,750.","$1,741.","$54,491.",Average
Rhiamon Mollison,Female,Research and Development,Lagos,0.033,"$59,430.","$1,961.","$61,391.",Average
Matias Cormack,Male,Research and Development,Kaduna,0.033,"$85,460.","$2,820.","$88,280.",Average
Ernestus O'Hengerty,Female,Research and Development,Abuja,0.033,"$31,020.","$1,024.","$32,044.",Average
Stephan Bussel,Male,Research and Development,Kaduna,0.033,"$48,290.","$1,594.","$49,884.",Average
Jannel Labb,Female,Research and Development,Kaduna,0.033,"$47,910.","$1,581.","$49,491.",Average
Cyril Medford,Female,Research and Development,Abuja,0.033,"$85,720.","$2,829.","$88,549.",Average
Ferrell Skepper,Female,Research and Development,Kaduna,0.033,"$30,250.",$998.,"$31,248.",Average
Rhiamon Mollison,Female,Research and Development,Abuja,0.033,"$59,430.","$1,961.","$61,391.",Average
Abramo Labbez,Female,Research and Development,Lagos,0.033,"$77,000.","$2,541.","$79,541.",Average
Genevra Friday,Female,Research and Development,Lagos,0.033,"$50,450.","$1,665.","$52,115.",Average
Inger Chapelhow,Female,Research and Development,Lagos,0.033,"$84,310.","$2,782.","$87,092.",Average
Murry Dryburgh,Male,Research and Development,Abuja,0.033,"$69,070.","$2,279.","$71,349.",Average
Jolynn Lumbley,Male,Research and Development,Abuja,0.033,"$70,020.","$2,311.","$72,331.",Average
Maritsa Marusic,Male,Research and Development,Abuja,0.033,"$52,750.","$1,741.","$54,491.",Average
Shari McNee,Male,Research and Development,Lagos,0.033,"$75,880.","$2,504.","$78,384.",Average
Naoma Cruse,Male,Research and Development,Kaduna,0.033,"$71,540.","$2,361.","$73,901.",Average
Oates Dinan,Female,Research and Development,Lagos,0.033,"$104,680.","$3,454.","$108,134.",Average
Bili Sizey,Male,Research and Development,Abuja,0.033,"$36,040.","$1,189.","$37,229.",Average
Leena Bruckshaw,Male,Research and Development,Lagos,0.033,"$74,280.","$2,451.","$76,731.",Average
Dayle O'Luney,Female,Research and Development,Lagos,0.033,"$46,750.","$1,543.","$48,293.",Average
Larry Pioch,Male,Research and Development,Abuja,0.033,"$49,670.","$1,639.","$51,309.",Average
Fedora Graffin,Male,Research and Development,Lagos,0.033,"$92,500.","$3,052.","$95,552.",Average
Aloisia Minto,Male,Research and Development,Abuja,0.033,"$41,420.","$1,367.","$42,787.",Average
Ede Mignot,Female,Research and Development,Kaduna,0.033,"$98,640.","$3,255.","$101,895.",Average
Mick Tanguy,Female,Research and Development,Lagos,0.033,"$97,400.","$3,214.","$100,614.",Average
Janina Wolverson,Female,Research and Development,Kaduna,0.033,"$99,680.","$3,289.","$102,969.",Average
Merrilee Plenty,Female,Research and Development,Abuja,0.033,"$87,620.","$2,891.","$90,511.",Average
Edgard Irving,Male,Research and Development,Kaduna,0.033,"$87,290.","$2,881.","$90,171.",Average
Kit Battlestone,Female,Research and Development,Abuja,0.033,"$115,980.","$3,827.","$119,807.",Average
Dayle O'Luney,Female,Research and Development,Abuja,0.033,"$46,750.","$1,543.","$48,293.",Average
Giffer Berlin,Female,Research and Development,Kaduna,0.033,"$92,340.","$3,047.","$95,387.",Average
Rose Shurrocks,Female,Research and Development,Kaduna,0.033,"$32,140.","$1,061.","$33,201.",Average
Lonny Caen,Female,Research and Development,Lagos,0.033,"$35,980.","$1,187.","$37,167.",Average
Inger Chapelhow,Female,Research and Development,Abuja,0.033,"$84,310.","$2,782.","$87,092.",Average
Murry Dryburgh,Male,Research and Development,Kaduna,0.033,"$69,070.","$2,279.","$71,349.",Average
Laura Gomar,Female,Research and Development,Lagos,0.033,"$36,860.","$1,216.","$38,076.",Average
Larry Pioch,Male,Research and Development,Abuja,0.033,"$49,670.","$1,639.","$51,309.",Average
Issy McLevie,Male,Research and Development,Kaduna,0.033,"$84,940.","$2,803.","$87,743.",Average
Addia Penwright,Male,Research and Development,Abuja,0.033,"$28,130.",$928.,"$29,058.",Average
Romona Dimmne,Female,Research and Development,Kaduna,0.033,"$48,250.","$1,592.","$49,842.",Average
Shelbi Aldin,Female,Research and Development,Abuja,0.033,"$40,910.","$1,350.","$42,260.",Average
Bert Yaakov,Male,Research and Development,Kaduna,0.033,"$72,040.","$2,377.","$74,417.",Average
Ruby Cracie,Male,Research and Development,Kaduna,0.033,"$78,710.","$2,597.","$81,307.",Average
Kerwin Blakely,Male,Research and Development,Lagos,0.033,"$68,480.","$2,260.","$70,740.",Average
Judie Di Bernardo,Male,Accounting,Abuja,0.02,"$117,150.","$2,343.","$119,493.",Average
Constantino Espley,Male,Accounting,Abuja,0.02,"$96,800.","$1,936.","$98,736.",Average
Torey Rosell,Male,Accounting,Kaduna,0.02,"$82,670.","$1,653.","$84,323.",Average
Sly Cowley,Male,Accounting,Abuja,0.02,"$48,530.",$971.,"$49,501.",Average
Enrichetta Mowles,Female,Accounting,Kaduna,0.02,"$74,390.","$1,488.","$75,878.",Average
Toby Brodhead,Female,Accounting,Lagos,0.02,"$98,400.","$1,968.","$100,368.",Average
Caron Kolakovic,Male,Accounting,Kaduna,0.02,"$49,920.",$998.,"$50,918.",Average
Jaime Dowe,Female,Accounting,Lagos,0.02,"$39,940.",$799.,"$40,739.",Average
Nathanial Brounfield,Male,Accounting,Kaduna,0.02,"$105,120.","$2,102.","$107,222.",Average
Delphine Jewis,Female,Accounting,Kaduna,0.02,"$71,820.","$1,436.","$73,256.",Average
Nerita Mycock,Male,Accounting,Kaduna,0.02,"$67,430.","$1,349.","$68,779.",Average
Aretha Ettridge,Female,Accounting,Abuja,0.02,"$33,760.",$675.,"$34,435.",Average
Petronella Marusik,Male,Accounting,Abuja,0.02,"$75,600.","$1,512.","$77,112.",Average
Jamesy O'Ferris,Male,Accounting,Kaduna,0.02,"$36,550.",$731.,"$37,281.",Average
Fanchon Furney,Male,Accounting,Abuja,0.02,"$95,950.","$1,919.","$97,869.",Average
Alicea Pudsall,Male,Accounting,Abuja,0.02,"$67,630.","$1,353.","$68,983.",Average
Franchot Crocken,Female,Accounting,Abuja,0.02,"$29,610.",$592.,"$30,202.",Average
Dewie Stodart,Male,Accounting,Kaduna,0.02,"$78,020.","$1,560.","$79,580.",Average
Jill Shipsey,Male,Accounting,Lagos,0.02,"$52,960.","$1,059.","$54,019.",Average
Sissy Muehle,Female,Accounting,Kaduna,0.02,"$86,470.","$1,729.","$88,199.",Average
Anjela Spancock,Male,Accounting,Lagos,0.02,"$98,010.","$1,960.","$99,970.",Average
Emanuel Beldan,Male,Accounting,Abuja,0.02,"$94,070.","$1,881.","$95,951.",Average
Kai Ryder,Female,Accounting,Lagos,0.02,"$119,930.","$2,399.","$122,329.",Average
Gaultiero Have,Male,Accounting,Kaduna,0.02,"$115,380.","$2,308.","$117,688.",Average
Tracy Renad,Female,Accounting,Abuja,0.02,"$114,890.","$2,298.","$117,188.",Average
Barri Teacy,Female,Accounting,Lagos,0.02,"$86,240.","$1,725.","$87,965.",Average
Amandy Jope,Male,Accounting,Abuja,0.02,"$99,630.","$1,993.","$101,623.",Average
Danielle Johananoff,Male,Services,Lagos,0.023,"$109,040.","$2,508.","$111,548.",Average
Marlowe Constantine,Male,Services,Abuja,0.023,"$60,560.","$1,393.","$61,953.",Average
Jessica Burditt,Female,Services,Kaduna,0.023,"$97,120.","$2,234.","$99,354.",Average
Nessy Baskwell,Male,Services,Kaduna,0.023,"$58,130.","$1,337.","$59,467.",Average
Rosco Cogley,Male,Services,Abuja,0.023,"$86,840.","$1,997.","$88,837.",Average
Benoite Ackermann,Female,Services,Abuja,0.023,"$57,080.","$1,313.","$58,393.",Average
Orton Livick,Male,Services,Abuja,0.023,"$37,920.",$872.,"$38,792.",Average
Ulick Maingot,Female,Services,Kaduna,0.023,"$42,820.",$985.,"$43,805.",Average
Evanne Sheryn,Female,Services,Abuja,0.023,"$81,900.","$1,884.","$83,784.",Average
Jobey Boneham,Female,Services,Kaduna,0.023,"$74,010.","$1,702.","$75,712.",Average
Lucias Minico,Female,Services,Kaduna,0.023,"$67,960.","$1,563.","$69,523.",Average
Ginger Myott,Female,Services,Abuja,0.023,"$31,170.",$717.,"$31,887.",Average
Marco Wooland,Female,Services,Kaduna,0.023,"$85,530.","$1,967.","$87,497.",Average
Pedro Carluccio,Male,Services,Lagos,0.023,"$41,140.",$946.,"$42,086.",Average
Doro Nolte,Female,Services,Kaduna,0.023,"$109,050.","$2,508.","$111,558.",Average
Noll Forbear,Male,Services,Kaduna,0.023,"$109,380.","$2,516.","$111,896.",Average
Giacobo Donke,Male,Services,Kaduna,0.023,"$118,360.","$2,722.","$121,082.",Average
Van Ruseworth,Female,Services,Abuja,0.023,"$80,610.","$1,854.","$82,464.",Average
Shelby Buckland,Male,Services,Lagos,0.023,"$76,390.","$1,757.","$78,147.",Average
Colly Littledike,Female,Services,Lagos,0.023,"$117,150.","$2,694.","$119,844.",Average
Patti Dradey,Male,Services,Lagos,0.023,"$84,740.","$1,949.","$86,689.",Average
Mathian MacMeeking,Female,Services,Lagos,0.023,"$45,060.","$1,036.","$46,096.",Average
Reg MacMichael,Male,Services,Kaduna,0.023,"$106,890.","$2,458.","$109,348.",Average
Herschel Wareham,Male,Services,Kaduna,0.023,"$110,830.","$2,549.","$113,379.",Average
Penni Patemore,Male,Services,Kaduna,0.023,"$29,330.",$675.,"$30,005.",Average
Halette Yesenev,Male,Services,Kaduna,0.023,"$61,920.","$1,424.","$63,344.",Average
Roth Bourget,Male,Services,Kaduna,0.023,"$28,870.",$664.,"$29,534.",Average
Hephzibah Summerell,Female,Services,Abuja,0.023,"$28,310.",$651.,"$28,961.",Average
Lishe Casemore,Male,Services,Kaduna,0.023,"$117,840.","$2,710.","$120,550.",Average
Lilyan Klimpt,Male,Services,Lagos,0.023,"$58,960.","$1,356.","$60,316.",Average
Austine Littlewood,Female,Services,Abuja,0.023,"$32,270.",$742.,"$33,012.",Average
Hildagard Reece,Female,Services,Lagos,0.023,"$41,220.",$948.,"$42,168.",Average
Dulsea Folkes,Female,Services,Abuja,0.023,"$42,160.",$970.,"$43,130.",Average
Appolonia Snook,Female,Services,Kaduna,0.023,"$93,880.","$2,159.","$96,039.",Average
Yves Clunie,Female,Marketing,Lagos,0.035,"$75,440.","$2,640.","$78,080.",Average
Izzy Brisco,Female,Marketing,Abuja,0.035,"$108,080.","$3,783.","$111,863.",Average
Archaimbaud Pinchin,Male,Marketing,Kaduna,0.035,"$40,270.","$1,409.","$41,679.",Average
Kayley Southwell,Female,Marketing,Kaduna,0.035,"$101,670.","$3,558.","$105,228.",Average
Reena McKernan,Female,Marketing,Kaduna,0.035,"$104,750.","$3,666.","$108,416.",Average
Tabbatha Pickston,Male,Marketing,Abuja,0.035,"$72,040.","$2,521.","$74,561.",Average
Payton Pickervance,Male,Marketing,Kaduna,0.035,"$117,020.","$4,096.","$121,116.",Average
Aubert Wedmore.,Female,Marketing,Lagos,0.035,"$61,330.","$2,147.","$63,477.",Average
Genovera Ghost,Male,Marketing,Kaduna,0.035,"$72,160.","$2,526.","$74,686.",Average
Bendite Bloan,Male,Marketing,Lagos,0.035,"$31,820.","$1,114.","$32,934.",Average
Andrea Penfold,Male,Marketing,Kaduna,0.035,"$70,230.","$2,458.","$72,688.",Average
Janene Hairsine,Female,Marketing,Abuja,0.035,"$104,770.","$3,667.","$108,437.",Average
Isaak Rawne,Male,Marketing,Lagos,0.035,"$37,360.","$1,308.","$38,668.",Average
Karon Oscroft,Male,Marketing,Lagos,0.035,"$112,120.","$3,924.","$116,044.",Average
Barr Faughny,Female,Marketing,Abuja,0.035,"$68,010.","$2,380.","$70,390.",Average
Skip Morkham,Female,Marketing,Kaduna,0.035,"$83,180.","$2,911.","$86,091.",Average
Yanaton Wooster,Male,Marketing,Abuja,0.035,"$76,930.","$2,693.","$79,623.",Average
Tammy Backson,Female,Marketing,Abuja,0.035,"$44,820.","$1,569.","$46,389.",Average
Georgie Caress,Male,Marketing,Abuja,0.035,"$58,260.","$2,039.","$60,299.",Average
Bobina Teale,Male,Marketing,Kaduna,0.035,"$116,890.","$4,091.","$120,981.",Average
Jillana Gabbitis,Male,Marketing,Kaduna,0.035,"$91,360.","$3,198.","$94,558.",Average
Carolin Fieldstone,Female,Marketing,Kaduna,0.035,"$36,920.","$1,292.","$38,212.",Average
Israel Farndon,Male,Marketing,Lagos,0.035,"$107,220.","$3,753.","$110,973.",Average
Fax Scotland,Female,Marketing,Abuja,0.035,"$57,640.","$2,017.","$59,657.",Average
Husein Augar,Female,Marketing,Kaduna,0.035,"$67,910.","$2,377.","$70,287.",Average
Joella Maevela,Female,Sales,Abuja,0.051,"$76,210.","$3,887.","$80,097.",Good
Faunie Sinton,Female,Sales,Abuja,0.051,"$115,230.","$5,877.","$121,107.",Good
Marcia Muldrew,Female,Sales,Lagos,0.051,"$71,510.","$3,647.","$75,157.",Good
Gardy Eckersall,Male,Sales,Kaduna,0.051,"$79,650.","$4,062.","$83,712.",Good
Floria Olivia,Female,Sales,Abuja,0.051,"$101,500.","$5,176.","$106,676.",Good
Cristal Demangeot,Female,Sales,Abuja,0.051,"$72,350.","$3,690.","$76,040.",Good
Joyce Esel,Male,Sales,Kaduna,0.051,"$101,390.","$5,171.","$106,561.",Good
Chancey Dyos,Male,Sales,Kaduna,0.051,"$118,060.","$6,021.","$124,081.",Good
Cheryl Mantz,Male,Sales,Kaduna,0.051,"$35,740.","$1,823.","$37,563.",Good
Glennis Fussen,Female,Sales,Kaduna,0.051,"$58,370.","$2,977.","$61,347.",Good
Jobie Basili,Female,Sales,Kaduna,0.051,"$39,340.","$2,006.","$41,346.",Good
Helene Bouts,Male,Sales,Lagos,0.051,"$70,380.","$3,589.","$73,969.",Good
Joaquin McVitty,Male,Sales,Lagos,0.051,"$68,860.","$3,512.","$72,372.",Good
Rodina Drinan,Female,Sales,Abuja,0.051,"$77,050.","$3,930.","$80,980.",Good
Rosaline Wenderott,Female,Sales,Abuja,0.051,"$36,820.","$1,878.","$38,698.",Good
Florinda Crace,Female,Sales,Abuja,0.051,"$45,510.","$2,321.","$47,831.",Good
Cullie Bourcq,Female,Sales,Abuja,0.051,"$45,590.","$2,325.","$47,915.",Good
Yoshiko Tamblingson,Male,Sales,Kaduna,0.051,"$29,590.","$1,509.","$31,099.",Good
Joella Maevela,Female,Sales,Kaduna,0.051,"$76,210.","$3,887.","$80,097.",Good
Garwin Peasegood,Female,Engineering,Lagos,0.043,"$68,220.","$2,933.","$71,153.",Good
Laney Renne,Male,Engineering,Kaduna,0.043,"$57,350.","$2,466.","$59,816.",Good
Shannen Crittal,Female,Engineering,Kaduna,0.043,"$68,040.","$2,926.","$70,966.",Good
Jeane Blaszczak,Female,Engineering,Lagos,0.043,"$44,300.","$1,905.","$46,205.",Good
Peria Revey,Male,Engineering,Kaduna,0.043,"$103,240.","$4,439.","$107,679.",Good
Carlene Torry,Female,Engineering,Lagos,0.043,"$59,610.","$2,563.","$62,173.",Good
Delinda Snozzwell,Male,Engineering,Abuja,0.043,"$67,010.","$2,881.","$69,891.",Good
Niall Selesnick,Female,Engineering,Lagos,0.043,"$34,980.","$1,504.","$36,484.",Good
Manolo Gasnell,Male,Engineering,Kaduna,0.043,"$88,380.","$3,800.","$92,180.",Good
Wyatt Clinch,Male,Engineering,Lagos,0.043,"$52,590.","$2,261.","$54,851.",Good
Karyn Creeghan,Male,Engineering,Kaduna,0.043,"$36,540.","$1,571.","$38,111.",Good
Dionne Garrish,Female,Engineering,Abuja,0.043,"$41,600.","$1,789.","$43,389.",Good
Delinda Snozzwell,Male,Engineering,Abuja,0.043,"$67,010.","$2,881.","$69,891.",Good
Cletus McGarahan,Female,Engineering,Lagos,0.043,"$114,430.","$4,920.","$119,350.",Good
Anne-corinne Daulby,Male,Engineering,Lagos,0.043,"$78,640.","$3,382.","$82,022.",Good
Margit Kunze,Male,Engineering,Abuja,0.043,"$94,020.","$4,043.","$98,063.",Good
Christos Wintle,Male,Engineering,Lagos,0.043,"$74,360.","$3,197.","$77,557.",Good
Hobie Stockbridge,Male,Engineering,Lagos,0.043,"$92,940.","$3,996.","$96,936.",Good
Nicolis Winspire,Male,Engineering,Lagos,0.043,"$45,650.","$1,963.","$47,613.",Good
Damien Netley,Male,Engineering,Abuja,0.043,"$98,110.","$4,219.","$102,329.",Good
Gisella Mewe,Female,Support,Abuja,0.049,"$109,760.","$5,378.","$115,138.",Good
Brigid Jeffrey,Female,Support,Kaduna,0.049,"$53,910.","$2,642.","$56,552.",Good
Corinna Griffiths,Male,Support,Kaduna,0.049,"$75,010.","$3,675.","$78,685.",Good
Warner Carwithan,Female,Support,Kaduna,0.049,"$113,760.","$5,574.","$119,334.",Good
Abbie Tann,Female,Business Development,Lagos,0.05,"$116,520.","$5,826.","$122,346.",Good
Meryl Waggatt,Female,Business Development,Kaduna,0.05,"$77,060.","$3,853.","$80,913.",Good
Carlin Demke,Male,Business Development,Lagos,0.05,"$110,040.","$5,502.","$115,542.",Good
Susy Challoner,Female,Business Development,Kaduna,0.05,"$29,890.","$1,494.","$31,384.",Good
Tammi Lackham,Female,Business Development,Abuja,0.05,"$61,690.","$3,084.","$64,774.",Good
Van Tuxwell,Female,Business Development,Abuja,0.05,"$80,700.","$4,035.","$84,735.",Good
Murial Ickovici,Female,Business Development,Kaduna,0.05,"$72,500.","$3,625.","$76,125.",Good
Thorvald Milliken,Female,Business Development,Lagos,0.05,"$33,030.","$1,652.","$34,682.",Good
Pierson Measham,Male,Business Development,Kaduna,0.05,"$103,160.","$5,158.","$108,318.",Good
Wyn Treadger,Female,Business Development,Kaduna,0.05,"$69,190.","$3,460.","$72,650.",Good
Lil Ibberson,Male,Business Development,Kaduna,0.05,"$75,920.","$3,796.","$79,716.",Good
Ardella Dyment,Female,Business Development,Kaduna,0.05,"$70,650.","$3,532.","$74,182.",Good
Brodie Grimstead,Male,Business Development,Kaduna,0.05,"$117,850.","$5,892.","$123,742.",Good
Leslie Cardoso,Female,Business Development,Abuja,0.05,"$103,340.","$5,167.","$108,507.",Good
Sheff Gerdts,Male,Business Development,Lagos,0.05,"$89,160.","$4,458.","$93,618.",Good
Gunar Cockshoot,Male,Business Development,Abuja,0.05,"$48,950.","$2,448.","$51,398.",Good
Marcellina Kitt,Female,Business Development,Kaduna,0.05,"$78,500.","$3,925.","$82,425.",Good
Garwood Penhale,Female,Business Development,Kaduna,0.05,"$96,640.","$4,832.","$101,472.",Good
Evangelia Gowers,Male,Business Development,Kaduna,0.05,"$118,450.","$5,922.","$124,372.",Good
Kincaid Hellicar,Male,Business Development,Kaduna,0.05,"$96,610.","$4,830.","$101,440.",Good
Shayne Stegel,Male,Business Development,Abuja,0.05,"$70,270.","$3,514.","$73,784.",Good
Juanita Trembey,Male,Business Development,Kaduna,0.05,"$54,780.","$2,739.","$57,519.",Good
Candy Aindrais,Female,Business Development,Lagos,0.05,"$116,590.","$5,830.","$122,420.",Good
Jordain Sparkwill,Female,Product Management,Abuja,0.041,"$107,660.","$4,414.","$112,074.",Good
Camille Baldinotti,Female,Product Management,Lagos,0.041,"$41,700.","$1,710.","$43,410.",Good
Von Boeter,Male,Product Management,Lagos,0.041,"$36,370.","$1,491.","$37,861.",Good
Vlad Strangeway,Male,Product Management,Abuja,0.041,"$77,740.","$3,187.","$80,927.",Good
Millard Brakewell,Male,Product Management,Kaduna,0.041,"$76,560.","$3,139.","$79,699.",Good
L;urette Bontein,Male,Product Management,Abuja,0.041,"$47,650.","$1,954.","$49,604.",Good
Crissie Cordel,Female,Product Management,Abuja,0.041,"$41,570.","$1,704.","$43,274.",Good
Shellysheldon Ellerman,Female,Product Management,Abuja,0.041,"$34,470.","$1,413.","$35,883.",Good
Cathi Delgardo,Male,Product Management,Abuja,0.041,"$111,910.","$4,588.","$116,498.",Good
Sharron Petegree,Female,Product Management,Kaduna,0.041,"$87,290.","$3,579.","$90,869.",Good
Marney O'Breen,Female,Product Management,Kaduna,0.041,"$65,920.","$2,703.","$68,623.",Good
Nani Brockley,Male,Product Management,Abuja,0.041,"$47,000.","$1,927.","$48,927.",Good
Bordy Yatman,Female,Product Management,Lagos,0.041,"$108,450.","$4,446.","$112,896.",Good
Bogey Hitcham,Male,Product Management,Abuja,0.041,"$106,170.","$4,353.","$110,523.",Good
Curtice Advani,Male,Product Management,Lagos,0.041,"$59,810.","$2,452.","$62,262.",Good
Vic Radolf,Female,Product Management,Abuja,0.041,"$62,780.","$2,574.","$65,354.",Good
Issie Crippes,Female,Product Management,Abuja,0.041,"$81,720.","$3,351.","$85,071.",Good
Euell Willoughley,Male,Product Management,Kaduna,0.041,"$105,800.","$4,338.","$110,138.",Good
Richy Gray,Female,Product Management,Kaduna,0.041,"$89,830.","$3,683.","$93,513.",Good
Ava Whordley,Female,Product Management,Abuja,0.041,"$104,210.","$4,273.","$108,483.",Good
Minna Showler,Female,Training,Kaduna,0.059,"$105,370.","$6,217.","$111,587.",Good
Isa Mogie,Female,Training,Kaduna,0.059,"$50,950.","$3,006.","$53,956.",Good
Fancy Bonin,Male,Training,Lagos,0.059,"$84,680.","$4,996.","$89,676.",Good
Rhody Odhams,Male,Training,Lagos,0.059,"$103,600.","$6,112.","$109,712.",Good
Vernor Atyea,Female,Training,Kaduna,0.059,"$102,930.","$6,073.","$109,003.",Good
Ewart Hovel,Female,Training,Lagos,0.059,"$116,770.","$6,889.","$123,659.",Good
Lindi Morfey,Male,Training,Kaduna,0.059,"$99,470.","$5,869.","$105,339.",Good
Torrance Collier,Female,Training,Lagos,0.059,"$96,140.","$5,672.","$101,812.",Good
Nerissa Kavanagh,Male,Training,Abuja,0.059,"$84,170.","$4,966.","$89,136.",Good
Georg Dinnage,Male,Training,Kaduna,0.059,"$88,330.","$5,211.","$93,541.",Good
Antone Tolmie,Male,Training,Kaduna,0.059,"$110,820.","$6,538.","$117,358.",Good
Luce Beentjes,Male,Training,Abuja,0.059,"$48,180.","$2,843.","$51,023.",Good
Mallorie Waber,Male,Training,Lagos,0.059,"$60,570.","$3,574.","$64,144.",Good
Ewart Laphorn,Female,Training,Kaduna,0.059,"$119,110.","$7,027.","$126,137.",Good
William Reeveley,Male,Training,Abuja,0.059,"$53,870.","$3,178.","$57,048.",Good
Gerald Caple,Male,Training,Kaduna,0.059,"$59,300.","$3,499.","$62,799.",Good
Felita Whitloe,Male,Training,Kaduna,0.059,"$63,450.","$3,744.","$67,194.",Good
Lek Scamaden,Female,Training,Abuja,0.059,"$51,860.","$3,060.","$54,920.",Good
Jo-anne Gobeau,Female,Training,Abuja,0.059,"$37,900.","$2,236.","$40,136.",Good
William Reeveley,Male,Training,Abuja,0.059,"$53,870.","$3,178.","$57,048.",Good
Nessi Delves,Male,Training,Kaduna,0.059,"$56,830.","$3,353.","$60,183.",Good
Easter Pyke,Female,Training,Kaduna,0.059,"$95,680.","$5,645.","$101,325.",Good
Ebonee Roxburgh,Male,Training,Kaduna,0.059,"$67,950.","$4,009.","$71,959.",Good
Josie Barnson,Female,Training,Kaduna,0.059,"$74,110.","$4,372.","$78,482.",Good
Robbert Mandrier,Female,Training,Abuja,0.059,"$98,020.","$5,783.","$103,803.",Good
Felipe Parkman,Female,Training,Abuja,0.059,"$90,150.","$5,319.","$95,469.",Good
Nicole Blowfelde,Female,Training,Kaduna,0.059,"$59,560.","$3,514.","$63,074.",Good
Gavan Puttan,Male,Accounting,Abuja,0.058,"$35,940.","$2,085.","$38,025.",Good
Haven Belward,Male,Accounting,Lagos,0.058,"$89,120.","$5,169.","$94,289.",Good
Gradey Litton,Female,Accounting,Kaduna,0.058,"$68,890.","$3,996.","$72,886.",Good
Bren Absolon,Male,Accounting,Abuja,0.058,"$74,710.","$4,333.","$79,043.",Good
Inger Andriveaux,Male,Accounting,Abuja,0.058,"$107,110.","$6,212.","$113,322.",Good
Quentin Ferraresi,Female,Accounting,Abuja,0.058,"$49,000.","$2,842.","$51,842.",Good
Jermaine Steers,Female,Accounting,Abuja,0.058,"$35,440.","$2,056.","$37,496.",Good
Mahalia Larcher,Male,Accounting,Abuja,0.058,"$113,280.","$6,570.","$119,850.",Good
Yolande O'Dare,Female,Accounting,Abuja,0.058,"$51,650.","$2,996.","$54,646.",Good
Gilles Jaquet,Female,Accounting,Kaduna,0.058,"$76,300.","$4,425.","$80,725.",Good
Roddy Speechley,Male,Accounting,Abuja,0.058,"$115,920.","$6,723.","$122,643.",Good
Novelia Pyffe,Male,Accounting,Kaduna,0.058,"$52,270.","$3,032.","$55,302.",Good
Brad Gumb,Male,Accounting,Kaduna,0.058,"$38,830.","$2,252.","$41,082.",Good
Kissiah Maydway,Male,Accounting,Lagos,0.058,"$106,460.","$6,175.","$112,635.",Good
Cherlyn Barter,Female,Accounting,Abuja,0.058,"$104,120.","$6,039.","$110,159.",Good
Rafaelita Blaksland,Female,Services,Kaduna,0.053,"$109,160.","$5,785.","$114,945.",Good
Jim Perrygo,Male,Services,Lagos,0.053,"$96,790.","$5,130.","$101,920.",Good
Carmel Pancoust,Female,Services,Abuja,0.053,"$119,550.","$6,336.","$125,886.",Good
Rosamond Fishe,Male,Services,Lagos,0.053,"$108,160.","$5,732.","$113,892.",Good
Helaine Lyddy,Male,Services,Kaduna,0.053,"$103,110.","$5,465.","$108,575.",Good
Cindi Stratten,Female,Services,Lagos,0.053,"$99,200.","$5,258.","$104,458.",Good
Pearla Beteriss,Male,Services,Kaduna,0.053,"$69,910.","$3,705.","$73,615.",Good
